Year,Winner,Country,Club,League ,Age,Position ,Club_trophy_count,International_trophy_count,Runner_up,Third_place
2005,Ronaldinho,Brazil,FC Barcelona,La Liga ,25,FW,2,1,Frank Lampard,Steven Gerarad
2006,Fabio Cannavaro,Italy,Juventus ,Serie A ,32,DF,0,1,Gianluigi Buffon,Thierry Henry
2007,Kaka ,Brazil,AC Milan,Serie A ,25,FW,3,0,Cristiano Ronaldo,Lionel Messi
2008,Cristiano Ronaldo,Portugal,Manchester United,Premier League,23,FW,4,0,Lionel Messi,Fernando Torres
2009,Lionel Messi,Argentina ,FC Barcelona,La Liga ,22,FW,6,0,Cristiano Ronaldo,Xavi
2010,Lionel Messi,Argentina ,FC Barcelona,La Liga ,23,FW,2,0,Andres Iniesta ,Xavi
2011,Lionel Messi,Argentina ,FC Barcelona,La Liga ,24,FW,5,0,Cristiano Ronaldo,Xavi
2012,Lionel Messi,Argentina ,FC Barcelona,La Liga ,25,FW,1,0,Cristiano Ronaldo,Andres Iniesta
2013,Cristiano Ronaldo,Portugal,Real Madrid ,La Liga ,28,FW,0,0,Lionel Messi,Franck Ribery
2014,Cristiano Ronaldo,Portugal,Real Madrid ,La Liga ,29,FW,4,0,Lionel Messi,Manuel Neur
2015,Lionel Messi,Argentina ,FC Barcelona,La Liga ,28,FW,5,0,Cristiano Ronaldo,Neymar
2016,Cristiano Ronaldo,Portugal,Real Madrid ,La Liga ,31,FW,2,1,Lionel Messi,Antoine Griezmann
2017,Cristiano Ronaldo,Portugal,Real Madrid ,La Liga ,32,FW,5,0,Lionel Messi,Neymar
2018,Luka Modric,Croatia,Real Madrid ,La Liga ,33,MF,3,0,Cristiano Ronaldo,Antoine Griezmann
2019,Lionel Messi,Argentina ,FC Barcelona,La Liga ,32,FW,1,0,Virgil Van Djik,Cristiano Ronaldo
2021,Lionel Messi,Argentina ,FC Barcelona,La Liga ,34,FW,1,1,Robert Lewandowski,Jorginho
2022,Karim Benzema ,France ,Real Madrid ,La Liga ,34,FW,4,0,Sadio Mane,Kevin De Bruyne
2023,Lionel Messi,Argentina ,Paris Saint Germain,Ligue 1,36,FW,2,1,Erling Haaland,Kylian Mbappe
2024,Rodri,Spain,Manchester City,Premier League,28,MF,2,1,Vinicius Junior,Jude Bellingham
2025,Ousmane Dembele,France ,Paris Saint Germain,Ligue 1,28,FW,3,0,Lamine Yamal,Vitinha
